system,criterion,k,population,recall,ci_lo,ci_hi,n_substrates,n_references,mean_emitted_at_k,mean_emitted_untruncated,predictions_from,references_from,interval
sygma,canonical,15,comparison291,0.4541,0.4064,0.5049,291,665,14.632,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,canonical,20,comparison291,0.4662,0.4191,0.5145,291,665,19.292,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,canonical,30,comparison291,0.4737,0.4268,0.5224,291,665,27.643,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,canonical,50,comparison291,0.4767,0.43,0.5251,291,665,40.505,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,canonical,1,comparison291,0.1383,0.1134,0.1678,291,665,0.997,11.175,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,canonical,3,comparison291,0.2617,0.227,0.3005,291,665,2.983,11.175,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,canonical,5,comparison291,0.3308,0.2911,0.3756,291,665,4.966,11.175,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,canonical,8,comparison291,0.403,0.3589,0.4507,291,665,7.89,11.175,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,canonical,10,comparison291,0.4361,0.3917,0.4842,291,665,9.529,11.175,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,canonical,15,comparison291,0.4481,0.4044,0.496,291,665,11.144,11.175,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,canonical,20,comparison291,0.4496,0.4056,0.4976,291,665,11.175,11.175,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,canonical,30,comparison291,0.4496,0.4056,0.4976,291,665,11.175,11.175,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,canonical,50,comparison291,0.4496,0.4056,0.4976,291,665,11.175,11.175,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,canonical,1,comparison291,0.0496,0.0342,0.0674,291,665,0.976,10.735,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,canonical,3,comparison291,0.1534,0.1245,0.1855,291,665,2.876,10.735,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,canonical,5,comparison291,0.2195,0.1855,0.2563,291,665,4.667,10.735,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,canonical,8,comparison291,0.2737,0.2339,0.3161,291,665,6.931,10.735,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,canonical,10,comparison291,0.2992,0.2565,0.3448,291,665,8.089,10.735,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,canonical,15,comparison291,0.3368,0.2908,0.3857,291,665,9.849,10.735,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,canonical,20,comparison291,0.3444,0.2983,0.3925,291,665,10.436,10.735,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,canonical,30,comparison291,0.3459,0.2997,0.3942,291,665,10.66,10.735,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,canonical,50,comparison291,0.3459,0.2997,0.3942,291,665,10.735,10.735,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,canonical,1,comparison291,0.0556,0.0402,0.0732,291,665,1.0,28.124,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,canonical,3,comparison291,0.1669,0.1372,0.2,291,665,3.0,28.124,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,canonical,5,comparison291,0.2647,0.2291,0.3031,291,665,5.0,28.124,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,canonical,8,comparison291,0.3609,0.3145,0.4093,291,665,7.976,28.124,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,canonical,10,comparison291,0.403,0.3557,0.453,291,665,9.904,28.124,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
