system,criterion,k,population,recall,ci_lo,ci_hi,n_substrates,n_references,mean_emitted_at_k,mean_emitted_untruncated,predictions_from,references_from,interval
biotransformer,tanimoto1,30,comparison291,0.3464,0.3004,0.3946,291,664,10.612,10.677,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,tanimoto1,50,comparison291,0.3464,0.3004,0.3946,291,664,10.677,10.677,results/biotransformer_allhuman_one_step_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,tanimoto1,1,comparison291,0.0557,0.0403,0.0733,291,664,1.0,28.003,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,tanimoto1,3,comparison291,0.1687,0.1388,0.2022,291,664,3.0,28.003,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,tanimoto1,5,comparison291,0.2666,0.2306,0.3052,291,664,5.0,28.003,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,tanimoto1,8,comparison291,0.363,0.3163,0.4115,291,664,7.976,28.003,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,tanimoto1,10,comparison291,0.4066,0.3586,0.4568,291,664,9.904,28.003,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,tanimoto1,15,comparison291,0.4895,0.4426,0.5379,291,664,14.34,28.003,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,tanimoto1,20,comparison291,0.5181,0.468,0.5693,291,664,18.124,28.003,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,tanimoto1,30,comparison291,0.5452,0.4959,0.596,291,664,23.632,28.003,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,tanimoto1,50,comparison291,0.5587,0.5092,0.6095,291,664,28.003,28.003,results/gloryx_service_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,inchikey_tautomer,1,comparison291,0.0992,0.0777,0.1248,291,665,1.0,98.117,results/widepools_implicit/w*.json,pool references (tautomer keys),computed here; the repository stores none per arm
whole bank,inchikey_tautomer,3,comparison291,0.2301,0.1955,0.2697,291,665,3.0,98.117,results/widepools_implicit/w*.json,pool references (tautomer keys),computed here; the repository stores none per arm
whole bank,inchikey_tautomer,5,comparison291,0.3113,0.2729,0.354,291,665,5.0,98.117,results/widepools_implicit/w*.json,pool references (tautomer keys),computed here; the repository stores none per arm
whole bank,inchikey_tautomer,8,comparison291,0.4165,0.3735,0.4627,291,665,8.0,98.117,results/widepools_implicit/w*.json,pool references (tautomer keys),computed here; the repository stores none per arm
whole bank,inchikey_tautomer,10,comparison291,0.4556,0.411,0.5041,291,665,10.0,98.117,results/widepools_implicit/w*.json,pool references (tautomer keys),computed here; the repository stores none per arm
whole bank,inchikey_tautomer,15,comparison291,0.5353,0.4907,0.5822,291,665,15.0,98.117,results/widepools_implicit/w*.json,pool references (tautomer keys),computed here; the repository stores none per arm
whole bank,inchikey_tautomer,20,comparison291,0.5865,0.5401,0.6354,291,665,20.0,98.117,results/widepools_implicit/w*.json,pool references (tautomer keys),computed here; the repository stores none per arm
whole bank,inchikey_tautomer,30,comparison291,0.6526,0.6032,0.7039,291,665,30.0,98.117,results/widepools_implicit/w*.json,pool references (tautomer keys),computed here; the repository stores none per arm
whole bank,inchikey_tautomer,50,comparison291,0.7023,0.6491,0.7545,291,665,49.931,98.117,results/widepools_implicit/w*.json,pool references (tautomer keys),computed here; the repository stores none per arm
trained budget,inchikey_tautomer,1,comparison291,0.1053,0.0836,0.1306,291,665,1.0,15.625,results/widepools_k30/all.json,pool references (tautomer keys),computed here; the repository stores none per arm
trained budget,inchikey_tautomer,3,comparison291,0.2406,0.2064,0.2793,291,665,2.997,15.625,results/widepools_k30/all.json,pool references (tautomer keys),computed here; the repository stores none per arm
trained budget,inchikey_tautomer,5,comparison291,0.3203,0.2811,0.3636,291,665,4.966,15.625,results/widepools_k30/all.json,pool references (tautomer keys),computed here; the repository stores none per arm
trained budget,inchikey_tautomer,8,comparison291,0.4015,0.3582,0.4493,291,665,7.601,15.625,results/widepools_k30/all.json,pool references (tautomer keys),computed here; the repository stores none per arm
trained budget,inchikey_tautomer,10,comparison291,0.4331,0.3862,0.4837,291,665,9.034,15.625,results/widepools_k30/all.json,pool references (tautomer keys),computed here; the repository stores none per arm
trained budget,inchikey_tautomer,15,comparison291,0.4797,0.4294,0.5332,291,665,11.529,15.625,results/widepools_k30/all.json,pool references (tautomer keys),computed here; the repository stores none per arm
trained budget,inchikey_tautomer,20,comparison291,0.4872,0.4368,0.541,291,665,12.797,15.625,results/widepools_k30/all.json,pool references (tautomer keys),computed here; the repository stores none per arm
trained budget,inchikey_tautomer,30,comparison291,0.4902,0.4399,0.5436,291,665,13.914,15.625,results/widepools_k30/all.json,pool references (tautomer keys),computed here; the repository stores none per arm
trained budget,inchikey_tautomer,50,comparison291,0.4902,0.4399,0.5436,291,665,14.773,15.625,results/widepools_k30/all.json,pool references (tautomer keys),computed here; the repository stores none per arm
metatox,inchikey_tautomer,1,comparison291,0.0406,0.026,0.0576,291,665,1.0,30.914,results/metatox_smirks_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
metatox,inchikey_tautomer,3,comparison291,0.1323,0.1064,0.1617,291,665,3.0,30.914,results/metatox_smirks_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
metatox,inchikey_tautomer,5,comparison291,0.218,0.1847,0.253,291,665,5.0,30.914,results/metatox_smirks_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
metatox,inchikey_tautomer,8,comparison291,0.3113,0.2702,0.3543,291,665,7.979,30.914,results/metatox_smirks_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
metatox,inchikey_tautomer,10,comparison291,0.388,0.3424,0.4351,291,665,9.942,30.914,results/metatox_smirks_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
metatox,inchikey_tautomer,15,comparison291,0.5143,0.4651,0.5659,291,665,14.584,30.914,results/metatox_smirks_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
metatox,inchikey_tautomer,20,comparison291,0.5519,0.5014,0.6034,291,665,18.729,30.914,results/metatox_smirks_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
metatox,inchikey_tautomer,30,comparison291,0.6015,0.551,0.6511,291,665,25.137,30.914,results/metatox_smirks_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
metatox,inchikey_tautomer,50,comparison291,0.6271,0.5752,0.6786,291,665,30.914,30.914,results/metatox_smirks_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
sygma,inchikey_tautomer,1,comparison291,0.1534,0.1275,0.1824,291,665,0.997,40.491,results/sygma_fulltest_predictions.json,pool references (tautomer keys),computed here; the repository stores none per arm
sygma,inchikey_tautomer,3,comparison291,0.2887,0.249,0.3328,291,665,2.99,40.491,results/sygma_fulltest_predictions.json,pool references (tautomer keys),computed here; the repository stores none per arm
sygma,inchikey_tautomer,5,comparison291,0.3744,0.3319,0.4216,291,665,4.976,40.491,results/sygma_fulltest_predictions.json,pool references (tautomer keys),computed here; the repository stores none per arm
sygma,inchikey_tautomer,8,comparison291,0.4271,0.3807,0.4777,291,665,7.921,40.491,results/sygma_fulltest_predictions.json,pool references (tautomer keys),computed here; the repository stores none per arm
sygma,inchikey_tautomer,10,comparison291,0.4556,0.41,0.5048,291,665,9.856,40.491,results/sygma_fulltest_predictions.json,pool references (tautomer keys),computed here; the repository stores none per arm
sygma,inchikey_tautomer,15,comparison291,0.4842,0.4381,0.5343,291,665,14.632,40.491,results/sygma_fulltest_predictions.json,pool references (tautomer keys),computed here; the repository stores none per arm
sygma,inchikey_tautomer,20,comparison291,0.4992,0.454,0.5471,291,665,19.292,40.491,results/sygma_fulltest_predictions.json,pool references (tautomer keys),computed here; the repository stores none per arm
sygma,inchikey_tautomer,30,comparison291,0.5068,0.4619,0.555,291,665,27.643,40.491,results/sygma_fulltest_predictions.json,pool references (tautomer keys),computed here; the repository stores none per arm
sygma,inchikey_tautomer,50,comparison291,0.5113,0.4666,0.5586,291,665,40.491,40.491,results/sygma_fulltest_predictions.json,pool references (tautomer keys),computed here; the repository stores none per arm
metapredictor,inchikey_tautomer,1,comparison291,0.1398,0.1148,0.1693,291,665,0.997,10.746,artifacts/tier2_1170/metapredictor_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
metapredictor,inchikey_tautomer,3,comparison291,0.2767,0.2411,0.3168,291,665,2.983,10.746,artifacts/tier2_1170/metapredictor_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
metapredictor,inchikey_tautomer,5,comparison291,0.3549,0.3138,0.4007,291,665,4.966,10.746,artifacts/tier2_1170/metapredictor_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
metapredictor,inchikey_tautomer,8,comparison291,0.4346,0.3893,0.4835,291,665,7.863,10.746,artifacts/tier2_1170/metapredictor_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
metapredictor,inchikey_tautomer,10,comparison291,0.4707,0.4252,0.5193,291,665,9.43,10.746,artifacts/tier2_1170/metapredictor_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
metapredictor,inchikey_tautomer,15,comparison291,0.4797,0.4348,0.5282,291,665,10.729,10.746,artifacts/tier2_1170/metapredictor_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
metapredictor,inchikey_tautomer,20,comparison291,0.4797,0.4348,0.5282,291,665,10.746,10.746,artifacts/tier2_1170/metapredictor_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
metapredictor,inchikey_tautomer,30,comparison291,0.4797,0.4348,0.5282,291,665,10.746,10.746,artifacts/tier2_1170/metapredictor_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
metapredictor,inchikey_tautomer,50,comparison291,0.4797,0.4348,0.5282,291,665,10.746,10.746,artifacts/tier2_1170/metapredictor_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
biotransformer,inchikey_tautomer,1,comparison291,0.0722,0.0539,0.0936,291,665,0.976,10.704,results/biotransformer_allhuman_one_step_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
biotransformer,inchikey_tautomer,3,comparison291,0.194,0.1624,0.229,291,665,2.876,10.704,results/biotransformer_allhuman_one_step_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
biotransformer,inchikey_tautomer,5,comparison291,0.2752,0.2395,0.3152,291,665,4.667,10.704,results/biotransformer_allhuman_one_step_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
biotransformer,inchikey_tautomer,8,comparison291,0.3414,0.3006,0.3856,291,665,6.931,10.704,results/biotransformer_allhuman_one_step_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
biotransformer,inchikey_tautomer,10,comparison291,0.3759,0.3333,0.4222,291,665,8.086,10.704,results/biotransformer_allhuman_one_step_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
biotransformer,inchikey_tautomer,15,comparison291,0.4286,0.3837,0.4775,291,665,9.828,10.704,results/biotransformer_allhuman_one_step_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
biotransformer,inchikey_tautomer,20,comparison291,0.4421,0.3951,0.4909,291,665,10.416,10.704,results/biotransformer_allhuman_one_step_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
biotransformer,inchikey_tautomer,30,comparison291,0.4466,0.399,0.4962,291,665,10.629,10.704,results/biotransformer_allhuman_one_step_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
biotransformer,inchikey_tautomer,50,comparison291,0.4481,0.3997,0.4992,291,665,10.704,10.704,results/biotransformer_allhuman_one_step_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
gloryx,inchikey_tautomer,1,comparison291,0.0662,0.0492,0.0856,291,665,1.0,27.199,results/gloryx_service_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
gloryx,inchikey_tautomer,3,comparison291,0.1895,0.158,0.2241,291,665,3.0,27.199,results/gloryx_service_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
gloryx,inchikey_tautomer,5,comparison291,0.2872,0.2507,0.3256,291,665,5.0,27.199,results/gloryx_service_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
gloryx,inchikey_tautomer,8,comparison291,0.397,0.3508,0.4451,291,665,7.973,27.199,results/gloryx_service_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
gloryx,inchikey_tautomer,10,comparison291,0.4406,0.3927,0.49,291,665,9.893,27.199,results/gloryx_service_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
gloryx,inchikey_tautomer,15,comparison291,0.5233,0.478,0.5707,291,665,14.299,27.199,results/gloryx_service_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
gloryx,inchikey_tautomer,20,comparison291,0.5579,0.5095,0.6072,291,665,17.99,27.199,results/gloryx_service_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
gloryx,inchikey_tautomer,30,comparison291,0.5925,0.5445,0.6416,291,665,23.33,27.199,results/gloryx_service_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
gloryx,inchikey_tautomer,50,comparison291,0.606,0.5567,0.6565,291,665,27.199,27.199,results/gloryx_service_preds.json,pool references (tautomer keys),computed here; the repository stores none per arm
whole bank,exact,1,evaluated1170,0.0859,0.0754,0.0971,1170,2597,1.0,98.176,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,exact,3,evaluated1170,0.176,0.1596,0.1931,1170,2597,2.998,98.176,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,exact,5,evaluated1170,0.2322,0.2134,0.2522,1170,2597,4.997,98.176,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,exact,8,evaluated1170,0.2965,0.2746,0.319,1170,2597,7.994,98.176,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,exact,10,evaluated1170,0.3269,0.3036,0.3505,1170,2597,9.992,98.176,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,exact,15,evaluated1170,0.3908,0.3652,0.4161,1170,2597,14.988,98.176,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,exact,20,evaluated1170,0.4282,0.4014,0.4549,1170,2597,19.984,98.176,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,exact,30,evaluated1170,0.4671,0.4388,0.4954,1170,2597,29.971,98.176,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,exact,50,evaluated1170,0.5144,0.4844,0.5443,1170,2597,49.88,98.176,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,exact,1,evaluated1170,0.0882,0.0777,0.0995,1170,2597,1.0,17.081,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,exact,3,evaluated1170,0.1879,0.1714,0.2054,1170,2597,2.996,17.081,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,exact,5,evaluated1170,0.2507,0.2309,0.2715,1170,2597,4.954,17.081,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,exact,8,evaluated1170,0.3073,0.2847,0.3312,1170,2597,7.67,17.081,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,exact,10,evaluated1170,0.3365,0.3124,0.3614,1170,2597,9.202,17.081,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,exact,15,evaluated1170,0.3697,0.3444,0.396,1170,2597,11.955,17.081,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,exact,20,evaluated1170,0.3816,0.3559,0.408,1170,2597,13.467,17.081,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,exact,30,evaluated1170,0.3881,0.3624,0.4147,1170,2597,14.934,17.081,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,exact,50,evaluated1170,0.3893,0.3633,0.4161,1170,2597,16.07,17.081,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,exact,1,evaluated1170,0.1409,0.1278,0.1547,1170,2597,0.996,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,exact,3,evaluated1170,0.2915,0.2715,0.3128,1170,2597,2.987,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,exact,5,evaluated1170,0.3735,0.3512,0.3973,1170,2597,4.968,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,exact,8,evaluated1170,0.4251,0.4019,0.4496,1170,2597,7.913,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,exact,10,evaluated1170,0.4471,0.4237,0.4721,1170,2597,9.833,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,exact,15,evaluated1170,0.4775,0.453,0.5036,1170,2597,14.534,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,exact,20,evaluated1170,0.489,0.4643,0.5148,1170,2597,19.097,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,exact,30,evaluated1170,0.4963,0.4718,0.5222,1170,2597,27.494,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,exact,50,evaluated1170,0.4979,0.4734,0.5235,1170,2597,40.935,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,exact,1,evaluated1170,0.1494,0.1359,0.1633,1170,2597,0.997,13.719,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,exact,3,evaluated1170,0.2665,0.2473,0.2862,1170,2597,2.989,13.719,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,exact,5,evaluated1170,0.3342,0.3133,0.356,1170,2597,4.975,13.719,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,exact,8,evaluated1170,0.3943,0.3712,0.4182,1170,2597,7.931,13.719,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,exact,10,evaluated1170,0.4224,0.3983,0.4467,1170,2597,9.857,13.719,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,exact,15,evaluated1170,0.4582,0.4342,0.4828,1170,2597,13.509,13.719,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,exact,20,evaluated1170,0.4594,0.4352,0.4839,1170,2597,13.719,13.719,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,exact,30,evaluated1170,0.4594,0.4352,0.4839,1170,2597,13.719,13.719,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,exact,50,evaluated1170,0.4594,0.4352,0.4839,1170,2597,13.719,13.719,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,exact,1,evaluated1170,0.0046,0.0023,0.0074,1170,2597,0.909,11.487,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,exact,3,evaluated1170,0.0077,0.0044,0.0114,1170,2597,2.686,11.487,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,exact,5,evaluated1170,0.0089,0.0052,0.013,1170,2597,4.366,11.487,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,exact,8,evaluated1170,0.01,0.0061,0.0145,1170,2597,6.591,11.487,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,exact,10,evaluated1170,0.0108,0.0067,0.0154,1170,2597,7.81,11.487,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,exact,15,evaluated1170,0.0112,0.0069,0.0159,1170,2597,9.882,11.487,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,exact,20,evaluated1170,0.0112,0.0069,0.0159,1170,2597,10.804,11.487,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,exact,30,evaluated1170,0.0112,0.0069,0.0159,1170,2597,11.309,11.487,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
biotransformer,exact,50,evaluated1170,0.0112,0.0069,0.0159,1170,2597,11.487,11.487,results/biotransformer_fulltest_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,exact,1,evaluated1170,0.0685,0.0598,0.0776,1170,2597,0.997,29.213,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,exact,3,evaluated1170,0.1787,0.1626,0.195,1170,2597,2.99,29.213,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,exact,5,evaluated1170,0.2692,0.2495,0.2893,1170,2597,4.979,29.213,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,exact,8,evaluated1170,0.3623,0.3388,0.3861,1170,2597,7.929,29.213,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,exact,10,evaluated1170,0.4051,0.3804,0.43,1170,2597,9.846,29.213,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,exact,15,evaluated1170,0.4705,0.4443,0.4966,1170,2597,14.331,29.213,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,exact,20,evaluated1170,0.5033,0.4759,0.5304,1170,2597,18.15,29.213,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,exact,30,evaluated1170,0.5275,0.4996,0.5549,1170,2597,24.009,29.213,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
gloryx,exact,50,evaluated1170,0.5375,0.5092,0.565,1170,2597,29.213,29.213,results/gloryx_service_preds_evaluated1170.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,canonical,1,evaluated1170,0.0859,0.0754,0.0971,1170,2597,1.0,98.176,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,canonical,3,evaluated1170,0.1764,0.1599,0.1935,1170,2597,2.998,98.176,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,canonical,5,evaluated1170,0.2326,0.2139,0.2526,1170,2597,4.997,98.176,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,canonical,8,evaluated1170,0.2969,0.2751,0.3193,1170,2597,7.994,98.176,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,canonical,10,evaluated1170,0.3273,0.304,0.3509,1170,2597,9.992,98.176,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,canonical,15,evaluated1170,0.3916,0.3659,0.417,1170,2597,14.988,98.176,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,canonical,20,evaluated1170,0.429,0.402,0.4556,1170,2597,19.984,98.176,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,canonical,30,evaluated1170,0.4678,0.4394,0.4961,1170,2597,29.971,98.176,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,canonical,50,evaluated1170,0.5152,0.485,0.5451,1170,2597,49.88,98.176,results/widepools_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,canonical,1,evaluated1170,0.0882,0.0777,0.0995,1170,2597,1.0,17.081,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,canonical,3,evaluated1170,0.1879,0.1714,0.2054,1170,2597,2.996,17.081,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,canonical,5,evaluated1170,0.2507,0.2309,0.2715,1170,2597,4.954,17.081,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,canonical,8,evaluated1170,0.3073,0.2847,0.3312,1170,2597,7.67,17.081,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,canonical,10,evaluated1170,0.3365,0.3124,0.3614,1170,2597,9.202,17.081,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,canonical,15,evaluated1170,0.3697,0.3444,0.396,1170,2597,11.955,17.081,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,canonical,20,evaluated1170,0.3816,0.3559,0.408,1170,2597,13.467,17.081,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,canonical,30,evaluated1170,0.3881,0.3624,0.4147,1170,2597,14.934,17.081,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,canonical,50,evaluated1170,0.3893,0.3633,0.4161,1170,2597,16.07,17.081,results/widepools_k30_fulltest/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,canonical,1,evaluated1170,0.1409,0.1278,0.1547,1170,2597,0.996,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,canonical,3,evaluated1170,0.2915,0.2715,0.3128,1170,2597,2.987,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,canonical,5,evaluated1170,0.3735,0.3512,0.3973,1170,2597,4.968,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,canonical,8,evaluated1170,0.4251,0.4019,0.4496,1170,2597,7.913,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,canonical,10,evaluated1170,0.4471,0.4237,0.4721,1170,2597,9.833,40.935,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
